umhlaba	u m hlaba
somuntu	s o mu ntu
yilencwadi	yi le n cwadi
sidlaphi	si dl a phi
ngangena	ng a ngen a
nokuhlala	n o ku hlal a
ugogo	u gogo
ukuzidelisa	u ku zidel is a
ngodondolo	ng o dondolo
komuntu	k o mu ntu
eyolubeka	e yo lu bek a
kumnyama	ku mnyama
abaqaphi	a ba qaph i
inkani	i n kani
okabuye	o ka buy e
kakusaziwa	ka ku s az iw a
iqiniso	i qinis o
ayifunayo	a yi fun a yo
esikhulile	e si khul ile, e si khulil e
ngangabe	nga ngabe
siyinkukhu	si y i n kukhu
ingonyama	i n go nyama
ngangimuhle	nga ngimuhle
okungathi	o ku nga thi
wayiphatha	w a yi phath a
ngizifuna	ngi zi fun a
ngilokhu	ngi lokhu
ukungabi	u ku nga b i
ngokushesha	ng o ku shesh a
eselokhu	e se lokhu
ungamazi	u nga m azi
nemibuzo	n e mi buz o
ngincengani	ngi nceng a ni
kwalindela	kw a lindel a
selilapha	se li lapha
silayishwa	si layish w a
wayelithanda	w a ye li thand a
engingabazi	e ngi nga ba z i
balimale	ba limal e
esuke	e suk e
ngomshini	ng o m shini
esuka	e suk a
kwabalingiswa	kw a ba ling is w a
ngibeka	ngi bek a
ungizwisa	u ngi zw is a
ukungishisa	u ku ngi sh is a
futhalala	futhalal a
c	c
wawuphihliza	w a wu phihliz a
ogwayi	o gwayi
kungadala	ku nga dal a
izingwe	i zin gwe
azinithele	a zi nith el e
uzosusa	u zo sus a
mhla	mhla
umamba	u m amba
akamthengiseli	a ka m theng is el i
bathule	ba thul e
owayesanake	o w a ye sa nak e
swi	swi
sizihlalele	si zi hlal el e
izokofa	i zo kof a
acele	a cel e
ibemhlophe	i be mhlophe
emcela	e m cel a
engena	e ngen a
ungaphika	u nga phik a
engene	e ngen e
bengawazi	be nga w azi
abashayeli	a ba shayel i
ngesigcwele	ng e si gcwel e
bahlubuka	ba hlubuk a
akoni	a k on i
mhogelise	m hog el is e
inyama	i nyama
likhwembekhwembeze	li khwemb e khwembez e
balesisizwe	ba le si si zwe
ingatholwa	i nga thol w a
uxaba	u xab a, u xaba
empini	e m p ini
wasezinweba	w a se zi nweb a
akamkhombisi	a ka m khomb is i
uxolo	u xolo
kwavele	kw a vel e
wayolala	w a yo lal a
ngomuntu	ng o mu ntu
emisebenzini	e mi sebenz ini
waphelela	w a phel el a
nimbambe	ni m bamb e
izikhali	i zi khali
yombuso	y o m bus o
ngikwenzile	ngi kw enz ile
ihlezi	i hlez i
imoto	i moto
okwakungeze	o kw a ku ng ez e
wadukluza	w a dukluz a
uyoxoshwa	u yo xosh w a
abrahama	abrahama
ngokucasha	ngo ku cash a
yayosithela	y a yo si th el a
wazwiba	w a zwib a
angikwesabi	a ngi kw esab i
bazinza	ba zinz a
esexola	e se xol a
indebe	i n debe
nemamba	n e mamba
sihambe	si hamb e
aphele	a phel e
ungawazi	u nga w azi
wayebuye	w a ye buy e
ngingaxabana	ngi nga xab an a
zingakuboni	zi nga ku bon i
ukuqashelwa	u ku qash el w a
ngiphinde	ngi phind e
nathi	na thi
izenzela	i z enz el a
abazifisayo	a ba zi fis a yo
kwakungukwahlukaniselwa	kw a ku ngu kwa hlukan is el w a
umsindo	u m sind o
ayizikholwa	a yi zi kholw a
izitembu	i zi tembu
nkindlane	n kindl ane
kuphiliwe	ku phil iw e
enhle	e n hle
eseyibukisisa	e se yi buk isis a
ehhovisi	e hhovisi
abafundi	a ba fund i
indishi	i n dishi
sitimela	si timela
inkinsela	i n kinsela
abafunde	a ba fund e
owayemtshela	o w a ye m tshel a
nezingubo	n e zin gubo
lingena	li ngen a
liyeza	li y ez a
ngizoshona	ngi zo shon a
ngokulokhu	ng o ku lokhu
wesithembu	w e si thembu
ukucabanga	u ku cabang a
akanandaba	aka na ndaba
ngizokucela	ngi zo ku cel a
owawungeyibone	o w a wu nge yi bon e
izicathulo	i zi cathul o
imisebenzi	i mi sebenz i
uyongixolela	u yo ngi xol el a
sengifike	se ngi fik e
sagcina	s a gcin a
kunzima	ku nzima
esembhince	e se m bhinc e
emangalisayo	e mangal is a yo
engibhuqa	e ngi bhuq a
ozovalelisa	o zo val el is a
behlakazeka	be hlakaz ek a
kushiwo	ku sh iw o
ngiqale	ngi qal e
yakhuza	y a khuz a
amaphuzu	a ma phuzu
kancane	ka ncane
ngikuchazele	ngi ku chaz el e
besingadala	be si nga dal a
lingakubani	li nga ku bani
utshwala	u tshwala
asebenzela	a sebenz el a
sokukuthungela	s o ku ku thung el a
beyakubamba	be ya ku bamb a
useyesabeka	u se y esab ek a
kulona	ku lo na
abangene	a ba ngen e
omfushane	o m fush ane
yokuphekela	y o ku phek el a
uyisuse	u yi sus e
okwamxaka	o kw a m xak a
ukuxolisa	u ku xol is a
ugwayi	u gwayi
nisize	ni siz e
okukhulu	o ku khulu
ngididwa	ngi did w a
wayincela	w a yi ncel a
ngizigxiviza	ngi zi gxiviz a
komphefumulo	k o m phefumul o
iyingelosi	i y i n gelosi
lona	lo na
ibuze	i buz e
selafa	se l a f a
ukunyakaza	u ku nyakaz a
umhlane	u mhlane
nesibindi	n e si bindi
waqhiphela	w a qhiph el a
eramsesi	e ramsesi
esephumile	e se phum ile
wayephakamisa	w a ye phakam is a
emathilamini	e ma thilam ini
ayengawafanele	a ye nga wa fan el e
eposini	e pos ini
umkankwanyana	u m kankwany ana
ovutha	o vuth a
kungaze	ku nga ze
kungafuneki	ku nga fun ek i
kwezimpahla	kw e zim pahla
sekusile	se ku s ile
ngesokusa	ng e s o ku s a
ukuyobamba	u ku yo bamb a
asizange	a si zange
nokho	nokho
bayehla	ba y ehl a
sekungumkhusu	se ku ng u m khusu
ukumbuka	u ku mbuk a
bakhokhelwa	ba khokh el w a
nobhokide	n o bhokide
izindwani	i zin dwani
ngesonto	ng e sonto
nezinqulu	n e zin qulu
afanele	a fanel e
nokaba	n o ka b a
lashona	l a shon a
nakuphefumula	n a ku phefumul a
ngiyafunga	ngi ya fung a
dukuduku	dukuduku
kufane	ku fan e
bephuma	be phum a
kufana	ku fan a
zithole	zi thol e
emabhange	e ma bhange
wahalalisa	w a halal is a
useyashweleza	u se ya shwelez a
nasi	na si
naso	na so
indlamu	i n dlamu
kakhulu	kakhulu, ka khulu
nihlanganise	ni hlangan is e
wenkosi	w e n kosi
zingalikhuthalela	zi nga li khuthal el a
angiyifiseli	a ngi yi fis el i
ngalejwayela	ng a l ejwayel a
enonophele	e nonophel e
wambona	w a m bon a
ummeli	u m m el i
sangaxoxa	s a nga xox a
ukuziphoxa	u ku ziphox a
liyazithandela	li ya zi thand el a
ngingakhwelanga	ngi nga khwel anga
imvunulo	i m vunul o
isaphumile	i sa phum ile
ezindlini	e zi ndl ini
walibhekisaphi	w a li bhek is a phi
bamkhonza	b a m khonz a
ayishumi	a y i shumi
yendlala	y e n dlala
ababemazi	a ba be m azi
wababaza	w a babaz a
siyotholana	si yo thol an a
uqinisile	u qin is ile
kawasoze	ka wa so ze
selimnyama	se li mnyama
ngiwulole	ngi wu lol e
eseciba	e se cib a
bazithela	ba zi th el a
iyazikhulumela	i ya zi khulum el a
namanzi	n a ma nzi
bengazi	be ng azi
ekuseni	e ku s eni
bakulowaya	b a ku lo wa ya
ngimbona	ngi m bon a
ukubuya	u ku buy a
ngizokutshela	ngi zo ku tshel a
wayehlala	w a yehlal a
eminingi	e mi ningi
onesi	o nesi
kuthushuka	ku thushuk a
yiso	yi so
kubhalwe	ku bhal w e
izindlebe	i zin dlebe
nezibi	n e zi bi
nentebe	n entebe
bakwethu	ba kw ethu
wawathathaphi	w a wa thath a phi
ngiphuthwe	ngi phuth w e
emayo	e m a yo
bengena	be ngen a
kungenzeki	ku ng enz ek i
angaphela	a nga phel a
ngalapho	nga laph o
kungenzeka	ku ng enz ek a
ubika	u bik a
makhala	makhala
ngane	n gane
esengasekho	e se nga se kho
lwehlele	lw ehlel e
isisusa	i si susa
babezikhalela	b a be zi khal el a
wayengumuntu	w a ye ng u mu ntu
yokusina	y o ku sin a
unatana	u natana
khilithi	khilithi
uzilalele	u zi lalel e
akudliwa	a ku dl iw a
ayabuzisana	a y a buzis an a
zishayise	zi shay is e
ngiyasola	ngi ya sol a
ezimnyama	e zi mnyama
eshaye	e shay e
eshaya	e shay a
kwedlulela	kw edlul el a
omanase	o manase
iyofela	i yo fel a
kuduma	ku dum a
zafunda	z a fund a
wayemthembisile	w a ye m themb is ile
uphindele	u phind el e
zazimhambele	z a zi m hamb el e
iyobasiza	i yo ba siz a
kucabanga	ku cabang a
siphenduke	si phenduk e
inhliziyo	i n hliziyo
washeshe	w a shesh e
washesha	w a shesh a
ukuxhasa	u ku xhas a
unkezo	u n kezo
kufanele	ku fanel e
sibheke	si bhek e
ukudlana	u ku dl an a
sokuquleka	s o ku qul ek a
esebomvu	e se bomvu
balikuqakuqa	b a li kuqakuq a
emgidini	e m gid ini
sokuvuleka	s o ku vul ek a
zitotoba	zi totob a
ukuyofunda	u ku yo fund a
ukuzenza	u ku zenz a
ngalolu	nga lo lu
ngobudala	ng o bu dala
sasihamba	s a si hamb a
akanayo	a ka na yo
bakanozimanga	baka no zi manga
zaphuma	z a phum a
akanaye	a ka na ye
sikhathi	si khathi
ngiyiqeda	ngi yi qed a
akupuneki	a ku pun ek i
eseyiqedile	e se yi qed ile
bacabanga	ba cabang a
abuse	a bus e
uzidonsela	u zi dons el a
ngikhona	ngi kho na
lomgwaqo	l o m gwaqo
wawuthatha	w a wu thath a
nokuthi	n o kuthi
injani	i njani
sichezuke	si chezuk e
akuyena	a ku ye na
emphuthuma	e m phuthum a
kulombuzo	ku lo m buz o
kwabangeka	kw a bang ek a
umphefumulo	u m phefumul o
kwakhanya	kw a khany a
makwenziwenjani	ma kw enz iw e njani
yokukulungisa	y o ku ku lung is a
wawo	wa wo
umbuze	u m buz e
ayisimangaliso	a y i si mangal is o
kuthandazwa	ku thandaz w a
umbuzo	u m buz o
kuthandazwe	ku thandaz w e
impambakwici	i m pambakwici
umbhele	u m bhele
usebhekabhekile	u se bhek a bhek ile
umlangeni	u m lang eni
useyibeke	u se yi bek e
iqamba	i qamb a
amakhekhe	a ma khekhe
ingasese	i nga se se
ethenga	e theng a
ngivume	ngi vum e
asebesebenza	a sebe sebenz a
nommbila	n o m mbila
isitha	i si tha
unkulavele	u nkulavele
ungiphathe	u ngi phath e
uyazimonyonga	u ya zi monyong a
kuqhamuka	ku qhamuk a
sesishilo	se si sh ilo
lonke	lo nke
ugendeni	u gend e ni
kokunye	k o ku nye
negazi	n e gazi
uyalinganisa	u ya lingan is a
usasho	u sa sho
umbingelela	u m bingelel a
bayithini	ba yi thi ni
indlela	i n dlela
eshadayo	e shad a yo
unomusa	u n o mu sa
ephakeme	e phakem e
kangako	ka ngako
kangaki	ka ngaki
kokungqongqoza	k o ku ngqongqoz a
kangaka	ka ngaka
iyamunyungwa	i ya munyung w a
ziphela	zi phel a
babukana	b a buk an a
kuyachichima	ku ya chichim a
ayeyilo	a ye yi lo
lendaba	l e n daba
babezozwa	ba be zo zw a
kusuke	ku suk e
ubhale	u bhal e
besingobani	be si ng o bani
lelibhubesi	le li bhubesi
sezivevezela	se zi vevez el a
uqhamukephi	u qhamuk e phi
esaziduduza	e sa zi duduz a
yayaphi	y a y a phi
sengizozwa	se ngi zo zw a
ungabe	u ngabe
ebuzwa	e buz w a
onkosazana	o n kos az ana
namaningi	na ma ningi
eyakithi	e ya ki thi
sekuvela	se ku vel a
kungafundwa	ku nga fund w a
eyilithemba	e yi li themb a
usephumule	u se phumul e
angiphuze	a ngi phuz e
oholibama	o holibama
ngabona	ng a bon a
wahlala	w a hlal a
lwakhona	lwa kho na
isibindi	i si bindi
iphutha	i phutha
usombenyase	u so mbeny a se
ekuntshontsheni	e ku ntshontsh eni
adideke	a did ek e
iwesishiyagalombili	i w e si shiy a galo m bili
ngiyakwexwaya	ngi ya kw exway a
nokuwamelela	n o ku w amel el a
ngomuso	ng o mu so
nalowo	na lo w o
azivokele	a zi vok el e
siyojika	si yo jik a
ashayise	a shay is e, a shayis e
ngezimoto	ng e zi moto
zawo	za wo
wabuya	w a buy a
sengibona	se ngi bon a
wabuye	w a buy e, w a buye
indodana	i n dod ana
engangikhuluma	e ng a ngi khulum a
ekhe	e kh e
ukuhlanganisa	u ku hlangan is a
nenhlanhla	n e n hlanhla
isidumbu	i si dumbu
isisuthu	i si suthu
waxakoka	w a xakok a
siyakwenza	si ya kw enz a
azihlalele	a zi hlal el e
ngamakhaza	nga ma khaza
ngangizohamba	ng a ngi zo hamb a
yilowonkosikazi	yi lo w o n kosi kazi, yi lo w o nkosi kazi
nithuke	ni thuk e
kwakunezincwadi	kw a ku n e zin cwadi
sokholo	s o khol o
awodwa	a wo dwa
amaqhawe	a ma qhawe
ngayiqala	ng a yi qal a
esabuza	e sa buz a
ngizithulele	ngi zi thul el e
uwafundisela	u wa fund is el a
etsheni	e tsh eni
ayikhulumi	a yi khulum i
ungene	u ngen e
wayengazihluphelani	w a ye nga zi hluph el a ni
usekhohliwe	u se khohl iw e
lokuziveza	l o ku zi vez a
kudala	ku dala
ngingaze	ngi nga ze
ngalalela	ng a lalel a
amahleza	a ma hleza
malunga	ma lunga
ngingazi	ngi ng azi
usofa	u sofa
simemeza	si memez a
ongibizele	o ngi biz el e
efanayo	e fan a yo
yokubuya	y o ku buy a
ngikuhluphe	ngi ku hluph e
kuhlekwe	ku hlek w e
wazisonga	w a zi song a
kulaba	ku la ba
uyaludinga	u ya lu ding a
kulabo	ku la b o
ukudubula	u ku dubul a
elase	e l a se
lishayile	li shay ile
wazibhonxula	w a zi bhonxul a
kunogwaja	ku no gwaja
zendelelo	z e n delel o
okwakukade	o kw a ku kade
izithombe	i zi thombe
kungahwalala	ku nga hwalal a
enganakuphendulwa	e nga na ku phendul w a
kuthisha	ku thisha
esiqondene	e si qond en e
ngiyathandaza	ngi ya thandaz a
nimkhweze	ni m khwez e
ngeswela	ng eswel a
amakhulu	a ma khulu
mahlayeni	ma hlayeni
usengcono	u se ngcono
luyaphahleka	lu ya phahl ek a
simfundile	si m fund ile
engiyizwayo	e ngi yi zw a yo
abafundisi	a ba fund is i
izimpendulo	i zim pendul o
ozojuqa	o zo juq a
namaphepha	n a ma phepha
wagxuma	w a gxum a
lalizokuba	l a li zo ku b a
walo	wa lo
ngifuna	ngi fun a
ngikuthole	ngi ku thol e
wathathela	w a thathel a
ngangingakwazi	ng a ngi nga kw azi
kuyabahlwa	ku ya ba hlw a
linjani	li njani
ixhegu	i xhegu
esimweni	e si mw eni
kusasiza	ku sa siz a
ebila	e bil a
imicibisholo	i mi cibisholo
selikude	se li ku de
phela	phela
sekufuneka	se ku fun ek a
ngosizwile	ng o si zw ile
uyisiphukuphuku	u y i si phuku phuku
silindile	si lind ile
ngimuzwa	ngi mu zw a
endala	e n dala
zazizame	z a zi zam e
kusale	ku sal e
ukuthi	u ku thi
ngitshele	ngi tshel e
lezizindawo	le zi zin dawo
nezinkabi	n e zin kabi
ngeyakhe	ng e ya khe
wawumkhulu	w a wu m khulu
uzoxolisa	u zo xol is a
sengikhathele	se ngi khathel e
izokwenzenjani	i zo kw enz e njani
ebulale	e bulal e
zasina	z a sin a
uyabheda	u ya bhed a
kuke	kuke
babuyisa	ba buy is a
amabhodlela	a ma bhodlela
okwenkosikazi	o kw e n kosi kazi
yabuyela	y a buy el a
owayengayinakile	o w a ye nga yi nak ile
wamangala	w a mangal a
yikho	yi kho
okunukayo	o ku nuk a yo
usenza	u s enz a
ezohlala	e zo hlal a
usenze	u s enz e
yitshe	y i tshe
umlungu	u m lungu
njengezihlabathi	njeng e zi hlabathi
beyocambalala	be yo cambalal a
ngamaningi	nga ma ningi
ijezi	i jezi
awufikanga	a wu fik anga
elakhona	e la kho na
nobomvu	n o bomvu
amakhosikazi	a ma khosi kazi
udalwa	u dal w a
kuyachachaza	ku ya chachaz a
kodwa	kodwa
ukungibona	u ku ngi bon a
bayibona	ba yi bon a
nguyena	ngu ye na
bayibone	ba yi bon e
sengehlulekile	se ng ehlul ek ile
zibhodongo	zi bhodongo
ayigugu	a y i gugu
yisihlalo	y i si hlal o
bekuvumelani	be ku vum el a ni
ukudlala	u ku dlal a
kuthule	ku thul e
kuthula	ku thul a
sekuzwakele	se ku zw akel e
eliyinkuluvele	e li y i n kulu vele
sebekhuluma	se be khulum a
lwalo	lwa lo
sisazozama	si sa zo zam a
njani	njani
ashiye	a shiy e
esakufuna	e sa ku fun a
engalweni	e n galw eni
babethi	ba be thi
sifika	si fik a
angilethela	a ngi lethel a
igwababa	i gwababa
esegulela	e se gul el a
usuthi	u suthi
kuleya	ku le ya
kuleyo	ku le y o
esihleli	e si hlel i
kunabanye	kun a ba nye
nasezingqondweni	na se zin gqond w eni
ashaye	a shay e
zomhlaba	z o m hlaba
bezovalelwa	be zo val el w a
kungasekho	ku nga se kho
ngeke	ngeke
ngokuphikisana	ng o ku phik is an a
umashu	u mashu
endle	e n dle
kuyinsini	ku y i n sini
akhe	a kh e, a khe
kumbe	ku mb e
belu	belu
uthuli	u thuli
emsebenzini	e m sebenz ini
abaqondene	a ba qond en e
eziguli	e zi gul i
yaba	y a b a
yabe	y a b e
kufunyaniseke	ku funy an is ek e
ayitholile	a yi thol ile
esihosheni	e si hosh eni
isimongo	i si mongo
yendawo	y e n dawo
yabo	ya bo
kunezinkungu	ku n e zin kungu
asho	a sho
usulapha	u s u lapha
budebuduze	budebuduze
sekukude	se ku ku de
umgobhozi	u m gobhoz i
ngomnyango	ng o m nyango
ilele	i lel e
ongagculisi	o nga gcul is i
sekusondele	se ku sondel e
ngiyinkatha	ngi y i n katha
angilindele	a ngi lind el e
asizethwele	a si z ethwel e
elibangisa	e li bang is a
kokuphumula	k o ku phumul a
nomunye	n o mu nye
kungukudla	ku ng u ku dl a
sesavala	se s a val a
isizungu	i si zungu
yemisebenzi	y e mi sebenzi
wayehlupheka	w a ye hluph ek a
izimoto	i zi moto
nabagulayo	n a ba gul a yo
zisuke	zi suk e
walamula	w a lamul a
ngesihle	ng e si hle
imithwalo	i mi thwal o
leziyazikhathi	le zi ya zi khathi
bathandana	ba thand an a, b a thand an a
ilandelana	i landel an a
baqaphele	ba qaphel e
ubebuzela	u be buz el a
zingakumeli	zi nga ku m el i
usambeke	u sa m bek e
esafunda	e sa fund a
wesihhomuhhomu	w e si hhomu hhomu, w e si hhomuhhomu
oyenzile	o y enz ile
umtshele	u m tshel e
umtshela	u m tshel a
ngamaphutha	ng a ma phutha
zimxinile	zi m xin ile
esiminyaminyeni	e si minyaminy eni
zigcwele	zi gcwel e
abazothenga	a ba zo theng a
sengiyobona	se ngi yo bon a
juluka	juluk a
ekwazi	e kw azi
useyokuzwa	u se yo ku zw a
bebancane	be ba ncane
ususikhipha	u s u si khiph a
inesithunzi	i n e si thunzi
likayisemkhulu	lika yise m khulu
ehlekisa	e hlek is a
ngiyethembisa	ngi y ethemb is a
lagege	l a geg e
amafutha	a ma futha
wayenganqaba	w a ye nga nqab a
ngikhosele	ngi khosel e
abayidlayo	a ba yi dl a yo
iyelapha	i y e lapha
angafike	a nga fik e
nkosi	n kosi
angafiki	a nga fik i
okuncane	o ku ncane
ndodakazi	n doda kazi
sase	sa se
indaba	i n daba
abamlindile	a ba m lind ile
akusho	a ku sho
buthongo	bu thongo
nhla	nhla
elovu	e lovu, elovu
ikakhulukazi	i ka khulu kazi
